,city,lat,lon,temp,hum,clo,win,country,date
0,rikitea,-23.1203,-134.9692,74.26,83,47,15.28,PF,1628793406
1,vaini,-21.2,-175.2,66.36,88,20,12.66,TO,1628793407
2,buritica,6.7187,-75.9073,77.95,60,100,1.36,CO,1628793409
3,fortuna,40.5982,-124.1573,63.52,82,1,5.75,US,1628793410
4,hithadhoo,-0.6,73.0833,80.96,75,100,9.84,MV,1628793412
5,saint george,37.1041,-113.5841,98.55,33,1,1.01,US,1628793413
6,sundsvall,62.3913,17.3063,66.16,72,20,3.44,SE,1628793414
7,khatanga,71.9667,102.5,42.78,94,100,5.79,RU,1628793416
8,kirakira,-10.4544,161.9205,76.08,94,100,9.69,SB,1628793417
9,chapais,49.7834,-74.8492,73.18,86,99,12.01,CA,1628793166
10,kidal,18.4411,1.4078,95.13,34,99,11.27,ML,1628793420
11,hilo,19.7297,-155.09,80.62,83,90,8.05,US,1628793421
12,mataura,-46.1927,168.8643,43.48,98,21,2.66,NZ,1628793422
13,pierre,44.3683,-100.351,86.05,55,1,1.99,US,1628793145
14,veracruz,19.3333,-96.6667,82.67,63,34,5.64,MX,1628793425
15,abonnema,4.7084,6.7931,76.48,82,67,7.92,NG,1628793427
16,jibuti,11.5,42.5,87.22,43,1,8.03,DJ,1628793428
17,riyadh,24.6877,46.7219,100.54,10,0,5.48,SA,1628793309
18,jamestown,42.097,-79.2353,85.59,76,1,11.01,US,1628793140
19,sao joao da barra,-21.6403,-41.0511,73.49,78,24,13.18,BR,1628793434
20,ribeira grande,38.5167,-28.7,75.6,83,20,17.27,PT,1628793436
21,inuvik,68.3499,-133.7218,59.86,65,75,1.14,CA,1628793437
22,san ramon,37.7799,-121.978,89.82,39,1,5.99,US,1628793438
23,tuktoyaktuk,69.4541,-133.0374,48.2,93,90,6.91,CA,1628793440
24,mhango,-3.2833,32.85,76.37,45,83,1.3,TZ,1628793441
25,ushuaia,-54.8,-68.3,51.42,71,40,33.38,AR,1628793442
26,klaksvik,62.2266,-6.589,54.52,90,100,12.15,FO,1628793444
27,georgetown,5.4112,100.3354,82.89,86,40,0.0,MY,1628793445
28,port hedland,-20.3167,118.5667,59.05,25,0,8.05,AU,1628793446
29,qaanaaq,77.484,-69.3632,41.38,76,48,1.48,GL,1628793448
30,varkaus,62.3153,27.873,64.31,70,100,3.71,FI,1628793449
31,half moon bay,37.4636,-122.4286,89.58,70,75,1.01,US,1628793451
32,biltine,14.5333,20.9167,85.57,56,57,7.92,TD,1628793452
33,barrow,71.2906,-156.7887,35.62,80,90,16.11,US,1628793454
34,cape town,-33.9258,18.4232,52.88,77,40,3.0,ZA,1628793177
35,vardo,70.3705,31.1107,52.0,87,75,6.91,NO,1628793456
36,eureka,40.8021,-124.1637,63.79,82,67,3.0,US,1628793382
37,hermanus,-34.4187,19.2345,50.9,79,90,10.8,ZA,1628793458
