,city,lat,lon,temp,hum,clo,win,country,date
0,ushuaia,-54.8,-68.3,37.06,87,75,16.11,AR,1628887320
1,hithadhoo,-0.6,73.0833,81.72,75,97,13.09,MV,1628887143
2,hermanus,-34.4187,19.2345,49.8,80,1,12.59,ZA,1628887135
3,vaini,-21.2,-175.2,66.36,88,40,6.91,TO,1628887191
4,upernavik,72.7868,-56.1549,43.95,95,100,6.76,GL,1628887324
5,qaanaaq,77.484,-69.3632,43.34,61,4,7.02,GL,1628887060
6,hobart,-42.8794,147.3294,48.06,70,20,5.99,AU,1628887037
7,bembereke,10.2283,2.6634,68.72,97,100,2.98,BJ,1628887329
8,mahebourg,-20.4081,57.7,67.24,94,20,5.75,MU,1628887331
9,cape town,-33.9258,18.4232,53.11,71,0,1.99,ZA,1628886866
10,tuatapere,-46.1333,167.6833,45.82,79,58,13.89,NZ,1628887334
11,mar del plata,-38.0023,-57.5575,55.42,54,0,8.05,AR,1628886819
12,barrow,71.2906,-156.7887,39.22,81,90,9.22,US,1628887339
13,east london,-33.0153,27.9116,58.24,58,95,8.03,ZA,1628887071
14,provideniya,64.3833,-173.3,47.37,68,89,7.43,RU,1628887188
15,waingapu,-9.6567,120.2641,76.48,87,57,11.12,ID,1628887342
16,tuktoyaktuk,69.4541,-133.0374,44.6,70,90,10.36,CA,1628887151
17,longyearbyen,78.2186,15.6401,42.64,70,40,12.66,SJ,1628887190
18,labuhan,-6.8844,112.2051,75.51,87,15,7.94,ID,1628887347
19,karasjok,69.4719,25.5112,50.11,93,100,2.19,NO,1628887349
20,bredasdorp,-34.5322,20.0403,49.28,87,3,3.44,ZA,1628887293
21,kapaa,22.0752,-159.319,82.72,69,75,5.01,US,1628887351
22,aklavik,68.2191,-135.0107,47.12,76,75,5.75,CA,1628887250
23,miraflores,19.2167,-98.8083,74.16,65,85,1.43,MX,1628887353
24,ovalle,-30.5983,-71.2003,69.42,36,0,5.35,CL,1628887152
25,atuona,-9.8,-139.0333,78.08,73,17,18.23,PF,1628887059
26,nyurba,63.2842,118.3319,62.11,81,99,1.59,RU,1628887357
27,nikolskoye,59.7035,30.7861,65.01,87,8,6.17,RU,1628887062
28,huarmey,-10.0681,-78.1522,68.04,70,16,10.96,PE,1628887359
29,new norfolk,-42.7826,147.0587,47.71,67,66,1.01,AU,1628887361
30,narsaq,60.9167,-46.05,62.82,78,48,4.88,GL,1628887362
31,georgetown,5.4112,100.3354,78.89,92,20,1.01,MY,1628887097
32,talnakh,69.4865,88.3972,53.69,79,100,5.08,RU,1628887365
33,hilo,19.7297,-155.09,77.25,85,90,3.44,US,1628887124
34,busselton,-33.65,115.3333,46.04,88,19,3.42,AU,1628887216
35,flin flon,54.7682,-101.865,73.24,35,40,12.66,CA,1628887368
36,springbok,-29.6643,17.8865,46.33,35,0,21.07,ZA,1628887370
37,vila franca do campo,37.7167,-25.4333,73.81,85,22,6.96,PT,1628887372
38,saint-philippe,-21.3585,55.7679,69.39,75,1,5.95,RE,1628887080
39,bethel,41.3712,-73.414,96.82,54,1,5.75,US,1628887376
40,rio gallegos,-51.6226,-69.2181,57.25,41,40,20.71,AR,1628887291
41,lahij,13.1667,44.5833,90.05,45,34,0.13,YE,1628887378
42,ostrovnoy,68.0531,39.5131,51.53,98,100,10.36,RU,1628887380
43,madaoua,14.073,5.96,80.4,69,93,8.28,NE,1628887381
44,petropavlovsk-kamchatskiy,53.0452,158.6483,43.39,100,90,4.47,RU,1628887382
45,alice springs,-23.7,133.8833,38.75,48,0,4.61,AU,1628887381
46,owando,-0.4819,15.8999,77.16,67,98,2.95,CG,1628887385
